# Animal, Behaviour, Frame
animal_2,mandible_contact,02477.jpg
animal_2,mandible_contact,02478.jpg
animal_2,mandible_contact,02479.jpg
animal_2,mandible_contact,02480.jpg
animal_2,mandible_contact,02481.jpg
animal_2,mandible_contact,02482.jpg
animal_2,mandible_contact,02483.jpg
animal_2,mandible_contact,02484.jpg
animal_2,mandible_contact,02485.jpg
animal_2,mandible_contact,02486.jpg
animal_2,mandible_contact,02487.jpg
animal_2,mandible_contact,02488.jpg
animal_2,mandible_contact,02489.jpg
animal_2,mandible_contact,02490.jpg
animal_2,mandible_contact,02491.jpg
animal_2,mandible_contact,02492.jpg
animal_2,mandible_contact,02493.jpg
animal_2,mandible_contact,02494.jpg
animal_2,mandible_contact,02495.jpg
animal_2,mandible_contact,02496.jpg
animal_2,mandible_contact,02497.jpg
animal_2,mandible_contact,02498.jpg
animal_2,mandible_contact,02499.jpg
animal_2,mandible_contact,02500.jpg
animal_2,mandible_contact,02501.jpg
animal_2,mandible_contact,02502.jpg
animal_2,mandible_contact,02503.jpg
animal_2,mandible_contact,02504.jpg
animal_2,mandible_contact,02505.jpg
animal_2,mandible_contact,02506.jpg
animal_2,mandible_contact,02507.jpg
animal_2,mandible_contact,02508.jpg
animal_2,mandible_contact,02509.jpg
animal_2,mandible_contact,02510.jpg
animal_2,mandible_contact,02511.jpg
animal_2,mandible_contact,02512.jpg
animal_2,mandible_contact,02513.jpg
animal_2,mandible_contact,02514.jpg
animal_2,mandible_contact,02515.jpg
animal_2,mandible_contact,02516.jpg
animal_2,mandible_contact,02517.jpg
animal_2,mandible_contact,02518.jpg
animal_2,mandible_contact,02519.jpg
animal_2,mandible_contact,02520.jpg
animal_2,mandible_contact,02521.jpg
animal_2,mandible_contact,02522.jpg
animal_2,mandible_contact,02523.jpg
animal_2,mandible_contact,02524.jpg
animal_2,mandible_contact,02525.jpg
animal_2,mandible_contact,02526.jpg
animal_2,mandible_contact,02527.jpg
animal_2,mandible_contact,02528.jpg
animal_2,mandible_contact,02529.jpg
animal_2,mandible_contact,02530.jpg
animal_2,mandible_contact,02531.jpg
animal_2,mandible_contact,02532.jpg
animal_2,mandible_contact,02533.jpg
animal_2,mandible_contact,02534.jpg
animal_2,mandible_contact,02535.jpg
animal_2,mandible_contact,02536.jpg
animal_2,mandible_contact,02537.jpg
animal_2,mandible_contact,02538.jpg
animal_2,mandible_contact,02539.jpg
animal_2,mandible_contact,02540.jpg
animal_2,mandible_contact,02541.jpg
animal_2,mandible_contact,02542.jpg
animal_2,mandible_contact,02543.jpg
animal_2,mandible_contact,02544.jpg
animal_2,mandible_contact,02545.jpg
animal_2,mandible_contact,02546.jpg
animal_2,mandible_contact,02547.jpg
animal_2,mandible_contact,02548.jpg
animal_2,mandible_contact,02549.jpg
animal_2,mandible_contact,02550.jpg
animal_2,mandible_contact,02551.jpg
animal_2,mandible_contact,02552.jpg
animal_2,mandible_contact,02553.jpg
animal_2,mandible_contact,02554.jpg
animal_2,mandible_contact,02555.jpg
animal_2,mandible_contact,02556.jpg
animal_2,mandible_contact,02557.jpg
animal_2,mandible_contact,02558.jpg
animal_2,mandible_contact,02559.jpg
animal_2,mandible_contact,02560.jpg
animal_2,mandible_contact,02561.jpg
animal_2,mandible_contact,02562.jpg
animal_2,mandible_contact,02563.jpg
animal_2,mandible_contact,02564.jpg
animal_2,mandible_contact,02565.jpg
animal_2,mandible_contact,02566.jpg
